Id,SalePrice
679,88225.30767788614
546,197315.70960588372
708,94585.8197275734
2513,172485.58567451488
677,80090.53411769017
1687,259839.28387413156
813,142554.42448162992
2000,150686.19394554436
832,170586.7758884571
1380,119080.87522329134
661,150072.76518755406
393,127760.23268106757
2633,149005.1286559392
305,82766.34665800541
1266,239753.4077796578
1942,106105.36564993777
639,124200.60769361723
698,115275.13290649571
2229,221678.66788519657
2337,442628.37944366253
657,138560.8472135242
1519,158332.59893287814
728,46585.15245235
982,135154.88546122826
627,211446.52456462465
1609,130207.29445388007
1859,179269.02199229057
2046,219178.96347035037
1857,202391.9311305438
1005,174422.27834994497
246,230540.10221405543
2353,181729.50050056647
2577,152360.98510331227
791,107933.04754314557
2205,148832.69407643226
1133,189170.52611620724
411,146500.56800114567
2734,115835.07319079
2309,216876.11891213915
388,206106.69442175922
1589,207241.92713730378
502,311948.04807970236
1037,118219.9988578627
2774,222064.14963841497
1556,74926.3336117164
1429,246634.1950839988
1661,186001.9678544005
1953,174929.54528170527
1029,168212.0891922012
2689,134168.30441460497
2604,95168.27249986384
829,221577.82080448582
778,140423.61292611514
2102,196012.41934103268
1860,186301.4273608678
653,127426.09301252264
2741,135012.1567001073
2495,126010.58750597498
2549,129449.15340189451
2091,189539.04874881078
2111,177446.47444574392
2702,126888.01025841331
681,127580.01109274125
2737,183167.41567806475
1602,114169.35128472309
1115,260548.35607725222
985,142804.4117772908
1018,250495.08448065943
64,293240.5381567089
1587,267710.42973610305
1945,165692.09486313318
2558,124500.36043371353
1873,174229.44519488842
910,238696.6447344156
2355,178839.23547264695
113,220070.76591105352
2924,154920.18708192493
394,133439.12243812572
2642,144159.4394664364
209,219702.66346077062
2471,147964.26355440833
1583,194205.8588331925
1863,234437.0767908928
2773,143602.82619686658
1724,283849.96981326153
1566,209637.06985920045
66,407127.3595262221
524,349785.02260370925
1346,164533.9397374207
321,220247.662427664
2001,143909.24543955657
936,133029.0939634554
2045,228093.67640694694
1547,69289.75011754496
1881,130529.03816169631
1318,126753.7464478132
878,142878.8636262571
2018,120193.96504086186
1354,144032.31847122795
930,146085.55363772044
1124,206562.50468322952
151,120173.79415368129
2566,138603.25194083867
897,80553.32912186367
138,204893.73924170027
2883,53963.271448253545
1691,377873.80850513006
356,187104.1876627454
2128,192371.3408660677
249,163753.7514108901
191,135619.84093105822
2615,121307.22497411381
2032,128415.33845913157
1831,181442.63056147913
2065,153900.5107807122
2236,92438.76446367652
1139,173693.42681121491
2575,139968.60127678787
1832,165386.75859871312
2853,116065.51542821777
466,173187.63056998324
2701,129454.33117452057
2097,354898.53377356986
769,152101.05962517578
2738,360863.80759234907
619,184007.5052783016
961,317529.2715567464
240,143147.769301132
1585,219763.63828195413
2463,227517.94576414386
2076,135516.02987976145
528,257329.84817032714
2818,143514.4158825786
2546,156062.5698216682
1324,108382.28439981863
2499,293703.2723119383
2455,241861.48999228806
889,149903.73332814506
344,396442.29350269685
2390,269334.72661582887
152,118735.4507619757
2052,116101.48477952913
1893,165203.697214866
2879,95534.1226966456
224,147675.0428023691
56,213053.70622159514
2915,84956.7349089666
1449,136206.31048322702
1729,171469.97554161848
392,177825.50609109618
471,196654.4593658421
1701,396087.4152700103
1284,122562.615968949
1975,117286.29076715015
1607,128403.54663104951
1527,147274.16811242237
1808,154762.1124873603
2860,205386.3404354649
2565,119515.84541527115
2201,154538.37821121042
1178,342209.27388681314
1872,161547.70510650676
1994,125080.45555559242
1634,196363.64887404637
1120,227651.755022042
311,169060.09662288538
1261,173040.66686703553
2666,106918.61301696373
2799,230693.11926274427
282,125999.81734382959
746,124894.69739597994
1126,230693.49819551315
205,130183.25459263283
184,157371.77568952678
853,119357.33968280167
1432,155853.0494526077
2854,161968.83195564535
2137,141656.7950544293
